t_s,mem_util_pct,gpu_util_pct,bandwidth_gbps,phase
5.230384885973763,30,27,267.78,util_25
5.251362035982311,30,27,267.78,util_25
5.273196425987408,30,27,267.78,util_25
5.294977946992731,30,27,267.78,util_25
5.315757063974161,29,24,258.85,util_25
5.337549719988601,29,24,258.85,util_25
5.359489546972327,29,24,258.85,util_25
5.3811215899768285,29,24,258.85,util_25
5.402093623997644,29,24,258.85,util_25
5.42288869197364,29,24,258.85,util_25
5.4436685939726885,29,24,258.85,util_25
5.46452394197695,29,24,258.85,util_25
5.485468031984055,29,24,258.85,util_25
5.506230119994143,29,26,258.85,util_25
5.5270701089757495,29,26,258.85,util_25
5.547901162994094,29,26,258.85,util_25
5.5687929509731475,29,26,258.85,util_25
5.589609850983834,29,26,258.85,util_25
5.6111046679725405,29,26,258.85,util_25
5.6326109299843665,29,26,258.85,util_25
5.653500610991614,29,26,258.85,util_25
5.674401735974243,29,26,258.85,util_25
5.695152478991076,29,26,258.85,util_25
5.71586467398447,28,25,249.93,util_25
5.737152090994641,28,25,249.93,util_25
5.75793736797641,28,25,249.93,util_25
5.778809580981033,28,25,249.93,util_25
5.799636719981208,28,25,249.93,util_25
5.820794103987282,28,25,249.93,util_25
5.84218907597824,28,25,249.93,util_25
5.863444874994457,28,25,249.93,util_25
5.884589717985364,28,25,249.93,util_25
5.911251168989111,51,46,455.22,util_25
5.932161043980159,51,46,455.22,util_25
5.953119518992025,51,46,455.22,util_25
5.973946854996029,51,46,455.22,util_25
5.994855223980267,51,46,455.22,util_25
6.015678843978094,51,46,455.22,util_25
6.036559397995006,51,46,455.22,util_25
6.057388339977479,51,46,455.22,util_25
6.078232042986201,51,46,455.22,util_25
6.0993335059902165,51,46,455.22,util_25
6.120135938981548,32,31,285.63,util_25
6.141027839999879,32,31,285.63,util_25
6.162272693996783,32,31,285.63,util_25
6.18353311199462,32,31,285.63,util_25
6.204777363978792,32,31,285.63,util_25
6.225745177973295,32,31,285.63,util_25
6.247370396973565,32,31,285.63,util_25
6.26859707699623,32,31,285.63,util_25
6.290201811993029,32,31,285.63,util_25
6.311693682975601,30,26,267.78,util_25
6.333200715977,30,26,267.78,util_25
6.353930348996073,30,26,267.78,util_25
6.374659279972548,30,26,267.78,util_25
6.395275545975892,30,26,267.78,util_25
6.4159552739874925,30,26,267.78,util_25
6.436781375989085,30,26,267.78,util_25
6.457532667991472,30,26,267.78,util_25
6.478290892991936,30,26,267.78,util_25
6.499022893985966,30,26,267.78,util_25
